id	utterance	context	targetValue
nu-0	which country had the most cyclists finish within the top 10?	csv/203-csv/733.csv	Italy
nu-1	how many people were murdered in 1940/41?	csv/204-csv/149.csv	100,000
nu-2	how long did it take for the new york americans to win the national cup after 1936?	csv/203-csv/435.csv	17 years
nu-3	alfie's birthday party aired on january 19. what was the airdate of the next episode?	csv/204-csv/803.csv	January 26, 1995
nu-4	what is the number of 1st place finishes across all events?	csv/204-csv/272.csv	17
nu-5	in which competition did hopley finish fist?	csv/204-csv/483.csv	World Junior Championships
nu-6	what is the total number of films with the language of kannada listed?	csv/203-csv/463.csv	15
nu-7	what was the number of people attending the toros mexico vs. monterrey flash game?	csv/204-csv/875.csv	363
nu-8	what time period had no shirt sponsor?	csv/203-csv/329.csv	1982-1985
nu-9	when was his first 1st place record?	csv/203-csv/395.csv	2000
nu-10	in which three consecutive years was the record the same?	csv/204-csv/645.csv	2004|2005|2006
nu-11	does pat or john have the highest total?	csv/204-csv/925.csv	John
nu-12	what is the combined score of year end rankings before 2009?	csv/203-csv/381.csv	440
nu-13	how many more ships were wrecked in lake huron than in erie?	csv/204-csv/797.csv	7
nu-14	what is the only character with a blank c string?	csv/203-csv/128.csv	space
nu-15	what was the total number of points scored by the tide in the last 3 games combined.	csv/203-csv/62.csv	68
nu-16	who came immediately after sebastian porto in the race?	csv/204-csv/892.csv	Tomomi Manako
nu-17	what's the total number of festivals that occurred in october?	csv/203-csv/402.csv	5
nu-18	what is the only hospital to have 6 hospital beds?	csv/203-csv/319.csv	Vidant Bertie Hospital
nu-19	what is the total number of skoda cars sold in the year 2005?	csv/204-csv/21.csv	492,111
nu-20	what was the number of times won on grass?	csv/204-csv/758.csv	1
nu-21	who won the most gold medals?	csv/204-csv/76.csv	Brazil
nu-22	total wins by belgian riders	csv/204-csv/417.csv	7
nu-23	what yacht had the next best time (smaller time is better) than ausmaid?	csv/203-csv/286.csv	Brindabella
nu-24	what match comes after gl-b-5?	csv/204-csv/896.csv	GL-B-6
nu-25	how many times was amanda on the judging panel?	csv/203-csv/178.csv	3
nu-26	how many awards has leona lewis won?	csv/203-csv/63.csv	20
nu-27	who was the top scorer in the last season?	csv/203-csv/307.csv	Simon Makienok Christoffersen
nu-28	how many jury members were there?	csv/204-csv/827.csv	9
nu-29	how many times was the val d'lsere, france location used?	csv/203-csv/779.csv	1
nu-30	what is the name listed before mount pleasant line?	csv/204-csv/50.csv	Pennsylvania Avenue Metro Extra Line
nu-31	what is the last stadium listed on this chart?	csv/204-csv/440.csv	DW Stadium
nu-32	how many times did salvatore bettiol win first place across competitions?	csv/204-csv/92.csv	2
nu-33	which year did illinois not have any losses during the conference?	csv/204-csv/640.csv	1914-15
nu-34	natalia varnakova is the same height as which other contestant(s)?	csv/203-csv/825.csv	Jahaira Novgorodova|Carmen Jenockova|Mariesea Mnesiču|Patricia Valiahmetova|Anastasija Larkova
