residence hall#sex#established#rector#campus#capacity#colors#mascot
alumni hall#male#1931#rev. george rozum , c.s.c#south quad#246#green and white#dawgs
badin hall#female#1897#sr. denise lyon , i.h.m#south quad#141#green and white#bullfrogs
breen - phillips hall#female#1939#sr. mary catherine mcnamara , s.i.w#north quad#195#blue and pink#babes
carroll hall#male#1906#rev. james lewis , o.carm#south quad#102#scarlet and gold#vermin
cavanaugh hall#female#1936#ms. jeannine dicarlantonio#north quad#209#green and purple#chaos
dillon hall#male#1931#rev. paul doyle , c.s.c#south quad#328#red and black#big red
duncan hall#male#2008#mr. terence fitzgibbons#west quad#232#green and navy#highlanders
farley hall#female#1942#ms. elaine j.c. debassige#north quad#221#teal and yellow#finest
fisher hall#male#1952#rev. brad metz , c.s.c#south quad#183#green and white#green wave
howard hall#female#1924#ms. margaret morgan#south quad#147#yellow and green#ducks
keenan hall#male#1957#mr. noel terranova#north quad#275#navy and white#knights
keough hall#male#1996#rev. mr. pat reidy , c.s.c#west quad#284#blue and red#kangaroos
knott hall#male#1988#br. jerome meyer , c.s.c#mod quad#239#orange and blue#juggerknotts
lewis hall#female#1965#ms. katy patterson#god quad#254#blue and yellow#chicks
lyons hall#female#1925#ms. meghan brown#south quad#202#black and gold#lions
mcglinn hall#female#1997#sr. mary lynch , s.s.j#west quad#285#green and white#shamrocks
morrissey manor#male#1925#rev. ronald vierling , m.f.c#south quad#235#black and yellow#the manor
old college (seminary)#male#1843#rev. stephen lacroix , c.s.c#south quad#22#n / a#n / a
o'neill hall#male#1996#mr. chris tarnacki#west quad#279#blue and silver#angry mob
pangborn hall#female#1955#sr. mary donnelly , o.p#south quad#173#purple and green#phoxes
pasquerilla east hall#female#1981#sr. cindy broderick , o.p#mod quad#255#red and black#pyros
pasquerilla west hall#female#1981#sr. mary jane hahner , c.s.f.n#mod quad#258#purple and white#purple weasels
ryan hall#female#2009#ms. allie greene#west quad#247#turquoise and white#wildcats
st. edward 's hall#male#1882#rev. ralph haag , c.s.c#god quad#161#green and gold#gentlemen
siegfried hall#male#1988#rev. john conley , c.s.c#mod quad#240#maroon and gray#ramblers
sorin college#male#1888#rev. bob loughery , c.s.c#god quad#144#blue and gold#otters
stanford hall#male#1957#rev. william dailey , c.s.c#north quad#254#green and gold#griffins
walsh hall#female#1909#ms. annie selak#god quad#182#navy and light blue#wild women
welsh family hall#female#1997#sr. christine connolly , o.p#west quad#281#blue and white#whirlwinds
