rank#city#country#population#area (km square)#sources of pop. / area
1#tokyo - yokohama#japan#35200000#7835#c / b
2#jakarta#indonesia#22000000#2720#f / b
3#manila#philippines#20795000#1425#c / b
4#seoul - incheon#south korea#19910000#1943#c / b
5#shanghai#china#18400000#2396#c / b
6#osaka - kobe - kyoto#japan#17320000#2720#c / b
7#shenzhen#china#14470000#1295#f / b
8#beijing#china#13955000#2616#c / b
9#guangzhou - foshan#china#13245000#2590#e / b
10#dongguan#china#10525 , 00#1295#f / b
11#nagoya#japan#10025000#3302#c / b
12#bangkok#thailand#8250000#1502#c / b
13#ho chi minh city#vietnam#7785000#609#e / b
14#hong kong#hong kong#7055000#220#e / b
15#taipei - new taipei - keelung#republic of china (taiwan)#6800000#440#d / b
16#tianjin#china#6675000#1295#c / b
17#kuala lumpur#malaysia#5835000#2137#e / b
18#chongqing#china#5460000#570#e / b
19#hangzhou#china#5305000#712#e / b
20#wuhan#china#5260000#712#e / b
21#shenyang#china#5160000#777#e / b
22#chengdu#china#4785000#570#e / b
23#singapore#singapore#4635000#479#d / b
24#yangon (rangoon)#burma#4400000#350#d / b
25#xi'an#china#3955000#531#e / b
26#harbin#china#3615000#570#e / b
27#suzhou#china#3605000#635#e / b
28#bandung#indonesia#3555000#401#e / b
29#nanjing#china#3550000#686#e / b
30#busan#south korea#3395000#259#e / b
31#pyongyang#north korea#3370000#207#e / b
32#dalian#china#3255000#570#e / b
33#changchun#china#3170000#376#e / b
34#kunming#china#3070000#518#e / b
35#wuxi#china#2925000#389#e / b
36#taiyuan#china#2900000#311#e / b
37#surabaya#indonesia#2885000#376#d / b
38#taichung - changhua#republic of china (taiwan)#2815000#492#e / b
39#changsha#china#2720000#389#e / b
40#kaohsiung#republic of china (taiwan)#2670000#363#e / b
41#zhengzhou#china#2590000#466#e / b
42#fukuoka#japan#2550000#583#c / b
43#shijiazhuang#china#2530000#363#e / b
45#qingdao#china#2495000#440#e / b
46#sapporo#japan#2475000#648#c / b
47#nanchang#china#2465000#155#e / b
48#guiyang#china#2440000#207#e / b
49#fuzhou#china#2405000#259#e / b
50#lanzhou#china#2385000#181#e / b
51#daegu#south korea#2380000#181#e / b
52#hanoi#vietnam#2355000#194#e / b
53#medan#indonesia#2340000#246#e / b
54#jinan#china#2320000#350#e / b
55#changzhou#china#2275000#194#e / b
56#xiamen#china#2225000#295#e / b
57#shunde#china#2105000#401#e / b
58#baotou#china#2095000#363#e / b
59#jilin#china#2070000#233#e / b
60#hefei#china#2000000#350#e / b
61#kitakyūshū#japan#2000000#842#c / b
